Ticari İsim,Etken Madde,Formulasyon,Kategori ID
TERSUN (İTHAL),50 g/l Quizalofop-p-ethyl,EC (Emülsiye Olabilen Konsantre),6
MAKSİYER 050 EC (İMAL),"50 g/l Pinoxaden + 12,5 g/l Cloquintocet-mexyl (Safener)",EC (Emülsiye Olabilen Konsantre),6
EGOISTA (İMAL),480 g/l Bentazone,SL (Suda Çözünen Konsantre),6
DARAMUN (İTHAL),100 g/L Cyazofamid,SC (Akıcı Konsantre/Süspansiyon Konsantre),6
FALORYN (İMAL),150 g/l Fluazifop-p-butyl,EC (Emülsiye Olabilen Konsantre),6
LORENA OD (İMAL),50 g/l Quizalofop-P-ethyl + 38 g/l Imazamox,OD (Yağda Dağılabilen),6
SAFEST (İMAL),300 g/l Pendimethalin + 60 g/l Flufenacet,EC (Emülsiye Olabilen Konsantre),6
XEDAZİL 50 (İTHAL),500 g/l Imazalil,EC (Emülsiye Olabilen Konsantre),6
ZARVİON (İMAL),"480 g/l Bentazone + 22,4 g/l Imazamox",SL (Suda Çözünen Konsantre),6
ZALİFOR 375 SL (İMAL),250 g/l Bentazone + 125 g/l MCPA,SL (Suda Çözünen Konsantre),6
BLOCKADE (İTHAL),"189,40 g/l Lavandulyl senecioate",CS (Kapsül Süspansiyon),6
KURBEN (İMAL),%25 Metalik bakıra eşdeğer bakır sülfat,CR (Kristal),6
GYO-THIN (İTHAL),200 g/l Glufosinate-ammonium,SL (Suda Çözünen Konsantre),6
ODİSEUS (İMAL),1000 g/l Dimethyl Disulfide,EC (Emülsiye Olabilen Konsantre),6
ALTERNATİF EC (İMAL),480 g/l Metalaxyl-M,EC (Emülsiye Olabilen Konsantre),6
ARKURI (İMAL),"65,82 g/l Metalik bakıra eşdeğer bakır sülfat",SC (Akıcı Konsantre/Süspansiyon Konsantre),6
TRULEN 60 FS (İMAL),60 g/l Tebuconazole,FS (Tohum İlaçlaması İçin Akıcı Konsantre),6
ALCATRAZ OD (İMAL),"37,5 g/l Mesotrione + 15 g/l Nicosulfuron",OD (Yağda Dağılabilen),6
GLARISE (İMAL),240 g/l Isoxaflutole +240 g/l Cyprosulfamide (safener),SC (Akıcı Konsantre/Süspansiyon Konsantre),6
BARİMA (İMAL),136 g/l Metalik bakıra eşdeğer bakır hidroksit + 136 g/l Metalik bakıra eşdeğer bakır oksiklorid,SC (Akıcı Konsantre/Süspansiyon Konsantre),6
COPSİDE 350 SC (İTHAL),350 g/l Metalik bakıra eşdeğer bakır hidroksit,SC (Akıcı Konsantre/Süspansiyon Konsantre),6
EXODUS 500 SC (İMAL),"312,5 g/l S-Metolachlor + 187,5 g/l Terbuthylazine",SC (Akıcı Konsantre/Süspansiyon Konsantre),6
SECTORIMA 25 SL (İMAL),25 g/l Imazamox,SL (Suda Çözünen Konsantre),6
METACORİL (İMAL),30 g/l Tebuconazole + 20 g/l Metalaxyl-m,FS (Tohum İlaçlaması İçin Akıcı Konsantre),6
SAFA CARNAVAL 43 WG (İMAL),%25 Mandipropamid + %18 Cymoxanil,WG (Suda Dağılabilen Granül),6
SHERLOCK 500 SC (İMAL),375 g/l Pyrimethanil +125 g/l Fluopyram,SC (Akıcı Konsantre/Süspansiyon Konsantre),6
PLANTIFOL (İMAL),175 g/l Prothioconazole + 88 g/l Trifloxystrobin,SC (Akıcı Konsantre/Süspansiyon Konsantre),6
ODESSA 320 SC (İMAL),200 g/l Tebuconazole + 120 g/l Azoxystrobin,SC (Akıcı Konsantre/Süspansiyon Konsantre),6
KEMP (İMAL),%40 Metalik bakıra eşdeğer bakır oksiklorid + %6 Dimethomorp,WP (Islanabilir Toz),6
SOLITO (İTHAL),300 g/l Pretilachlor + 20 g/l Pyribenzoxim,EC (Emülsiye Olabilen Konsantre),6
SERSİİ 2000 (İMAL),%35 Metalik bakıra eşdeğer bakır hidroksit,WG (Suda Dağılabilen Granül),6
ELEMUT (İMAL),200 g/l Proquinazid,EC (Emülsiye Olabilen Konsantre),6
İZLEM LB (İTHAL),"0.0039 g(E,Z)-7,9-dodecadien-1-yl acetate+0.0014 g (E,Z)7,9-Dodecadien-1-ol+0.00035 g (Z)-9-Dodecen-1-yl acetate+tuzak",--- (-),6
FERNATE (İMAL),"65,82 g/l Metalik bakıra eşdeğer bakır sülfat",SC (Akıcı Konsantre/Süspansiyon Konsantre),6
VERDECANTE (İMAL),%40 Metalik bakıra eşdeğer bakır oksiklorid + %6 Dimethomorp,WP (Bordo Bulamacı) (Islanabilir Toz),6
ARGONIK 80 WG (İTHAL),%80 Kükürt,WG (Suda Dağılabilen Granül),6
CEROX 50 WG (İMAL),%50 Triflusulfuron-methyl,WG (Suda Dağılabilen Granül),6
DEMBELE 490 SC (İMAL),400 g/l Metamitron + 55 g/l Ethofumesate + 35 g/l Phenmedipham,SC (Akıcı Konsantre/Süspansiyon Konsantre),6
AGROCURE PFX (İMAL),"%1,6 Pseudomonas fluorescens PRX1 1 X 10 üzeri 7 kob/ml min",SL (Suda Çözünen Konsantre),6
SAMPO 500 SL (İTHAL),500 g/l Metam Sodium,SL (Suda Çözünen Konsantre),6
HOT SHOT (İTHAL),500 g/l Metam Sodium,SL (Suda Çözünen Konsantre),6
CETENAY 125 FS (İMAL),"75 g/l Azoxystrobin + 37,5 g/l Metalaxyl-m + 12,5 g/l Fludioxonil",FS (Tohum İlaçlaması İçin Akıcı Konsantre),6
LOOBY (İMAL),200 g/l Fluopyram + 200 g/l Tebuconazole,SC (Akıcı Konsantre/Süspansiyon Konsantre),6
FENOMİR 250 SC (İMAL),250 g/l Flutriafol,SC (Akıcı Konsantre/Süspansiyon Konsantre),6
AZAMEX (İMAL),250 g/l Azoxystrobin,SC (Akıcı Konsantre/Süspansiyon Konsantre),6
ILORYX (İMAL),240 g/l Isoxaflutole +240 g/l Cyprosulfamide (safener),SC (Akıcı Konsantre/Süspansiyon Konsantre),6
PARLAY (İMAL),"186,5 g/l Maleic Hydrazide",SL (Suda Çözünen Konsantre),6
FLORİXOR (İMAL),225 g/l Isoxaflutole + 90 g/l Thiencarbazone-methyl + 150 g/l Cyprosulfamide (safener),SC (Akıcı Konsantre/Süspansiyon Konsantre),6
CENEVRE (İMAL),50 g/l Foramsulfuron + 30 g/l Thiencarbazone-methyl,OD (Yağda Dağılabilen),6
CHILIS WG (İTHAL),"%25,2 Boscalid + %12,8 Pyraclostrobin",WG (Suda Dağılabilen Granül),6
SAFA PERFOLİS (İMAL),20 g/l 6-Benzyladenine,SL (Suda Çözünen Konsantre),6
AGROFARM KERMESSE (İMAL),%85 Pyroxasulfone,WG (Suda Dağılabilen Granül),6
FHIONA (İMAL),267 g/l Prochloraz + 133 g/l Tebuconazole,"EW (Emülsiyon, Suda Yağ)",6
SULVİTRON (İMAL),40 g/l Nicosulfuron,SC (Akıcı Konsantre/Süspansiyon Konsantre),6
KİNG'S PHOENİX (İTHAL),%50 Tebuconazole + %25 Trifloxystrobin,WG (Suda Dağılabilen Granül),6
ALLAVIDA (İTHAL),259 g/l Metalik bakıra eşdeğer bakır hidroksit + 49 g/l Metalaxyl,SC (Akıcı Konsantre/Süspansiyon Konsantre),6
PACİNO 20 WP (İTHAL),%20 Metalik bakıra eşdeğer bordo bulamacı,WP (Bordo Bulamacı) (Islanabilir Toz),6
ROYTUNCH 375 SL (İMAL),250 g/l Bentazone + 125 g/l MCPA,SL (Suda Çözünen Konsantre),6
ZİMETRA 480 SL (İMAL),480 g/l Bentazone,SL (Suda Çözünen Konsantre),6
EVERLAST (İMAL),700 g/l Mineral Yağ,"EW (Emülsiyon, Suda Yağ)",6
AGROMATE (İTHAL),200 g/l Chlorantraniliprole,SC (Akıcı Konsantre/Süspansiyon Konsantre),6
BİTMORE (İMAL),%35 Metalik bakıra eşdeğer bakır hidroksit,WG (Suda Dağılabilen Granül),6
SPOILER 500 WG (İMAL),%50 Sulfoxaflor,WG (Suda Dağılabilen Granül),6
BURUTO (İMAL),480 g/l Spinosad,SC (Akıcı Konsantre/Süspansiyon Konsantre),6
DIVERSUM (İMAL),%25 Spinetoram,WG (Suda Dağılabilen Granül),6
RADİOSA 120 SC (İMAL),120 g/l Spinetoram,SC (Akıcı Konsantre/Süspansiyon Konsantre),6
ROYPİLER SC (İMAL),222 g/l Spirodiclofen + 18 g/l Abamectin,SC (Akıcı Konsantre/Süspansiyon Konsantre),6
SILCOON (İMAL),480 g/l Clomazone,EC (Emülsiye Olabilen Konsantre),6
TEATRO 48 SL (İMAL),480 g/l Bentazone,SL (Suda Çözünen Konsantre),6
MITEFAST 240 SC (İMAL),"228,6 g/l Spiromesifen + 11,4 g/l Abamectin",SC (Akıcı Konsantre/Süspansiyon Konsantre),6
RHODOPE (İMAL),200 g/l Cyflumetofen,SC (Akıcı Konsantre/Süspansiyon Konsantre),6
CAMPEGGI (İTHAL),%50 Flonicamid,WG (Suda Dağılabilen Granül),6
CANUTE (İMAL),"361,1 g/l Metalik bakıra eşdeğer bakır hidroksit",SC (Akıcı Konsantre/Süspansiyon Konsantre),6
MAGISTER (İTHAL),200 g/l Fenazaquin,SC (Akıcı Konsantre/Süspansiyon Konsantre),6
NEFERTA (İMAL),136 g/l Metalik bakıra eşdeğer bakır hidroksit + 136 g/l Metalik bakıra eşdeğer bakır oksiklorid,SC (Akıcı Konsantre/Süspansiyon Konsantre),6
FİTOCUR FS 170 (İMAL),150 g/l Prothioconazole + 20 g/l Tebuconazole,FS (Tohum İlaçlaması İçin Akıcı Konsantre),6
ABASHİNE 18 EC (İMAL),18 g/l Abamectin,EC (Emülsiye Olabilen Konsantre),6
FERMİNA (İMAL),10 g/l Azadirachtin A,EC (Emülsiye Olabilen Konsantre),6
PANNUMAX 20 SC (İMAL),200 g/l Cyflumetofen,SC (Akıcı Konsantre/Süspansiyon Konsantre),6
BRAYDEN 50 WG (İMAL),%50 Pirimicarb,WG (Suda Dağılabilen Granül),6
SLASH 460 SL (İMAL),400 g/l Bentazone + 60 g/l MCPA,SL (Suda Çözünen Konsantre),6
FEROBEM (İMAL),"0,8 mg [0,76 mg Tetradecatrien-1-yl acetate (EZ),(Z8),(Z11) %95+0,04 mg Tetradecadien-1-yl acetate (E3)-(Z8) %5 ]",--- (-),6
EYUTA (İMAL),400 g/l Fluopyram,SC (Akıcı Konsantre/Süspansiyon Konsantre),6
COMRAT (İMAL),% 60 Tribenuron-methyl + % 20 Florasulam,WG (Suda Dağılabilen Granül),6
TULOVE (İMAL),"0,7 mg [0,63 mg (EZ),(Z8),(Z11)- Tetradecatrien-1-yl acetate %90+ 0,07 mg (E3),(Z8)- Tetradecadien-1-yl acetate %10]",--- (-),6
FYNEXİL (İMAL),375 g/l Fluazinam + 150 g/l Azoxystrobin,SC (Akıcı Konsantre/Süspansiyon Konsantre),6
MALOTRİN 25 WP (İMAL),%25 Malathion,WP (Islanabilir Toz),6
CARYLİN (İMAL),45 g/l Chlorantraniliprole + 18 g/l Abamectin,SC (Akıcı Konsantre/Süspansiyon Konsantre),6
FEROKONT (İMAL),"1,4 mg p-Anisaldehyde + 25cm x 40 cm Mavi Yapışkan Tuzak",--- (-),6
FEROEROS (İMAL),"1,2 mg p-Anisaldehyde + 25cm x 40 cm Mavi Yapışkan Tuzak",--- (-),6
ESCADA 376 SC (İMAL),326 g/l Terbuthylazine + 50 g/l Mesotrione,SC (Akıcı Konsantre/Süspansiyon Konsantre),6
MINERVA 500 SC (İMAL),250 g/l Fluopyram+ 250 g/l Trifloxystrobin,SC (Akıcı Konsantre/Süspansiyon Konsantre),6
ASUMATE KP (İTHAL),74 mg (12Z)-2-acetoxy-12-heptadecene,--- (-),6
ILLAGRO (İMAL),300 g/l Ametoctradin + 225 g/l Dimethomorph,SC (Akıcı Konsantre/Süspansiyon Konsantre),6
HYBRİKS 2F (İMAL),240 g/l Tau-fluvalinate,"EW (Emülsiyon, Suda Yağ)",6
SAFA AQUAMETRIX (İMAL),333 g/l Metazachlor + 83 g/l Quinmerac,SC (Akıcı Konsantre/Süspansiyon Konsantre),6
MİNATO 700 SC (İMAL),700 g/l Metamitron,SC (Akıcı Konsantre/Süspansiyon Konsantre),6
PADOVA (İMAL),45 g/l Chlorantraniliprole + 18 g/l Abamectin,SC (Akıcı Konsantre/Süspansiyon Konsantre),6
ABAROLE (İTHAL),45 g/l Chlorantraniliprole + 18 g/l Abamectin,SC (Akıcı Konsantre/Süspansiyon Konsantre),6
TRİTİCON ROBİN (İMAL),60 g/l Tebuconazole,FS (Tohum İlaçlaması İçin Akıcı Konsantre),6
JOUST AZUL (İTHAL),150 g/l Azoxystrobin + 150 g/l Prothioconazole,SC (Akıcı Konsantre/Süspansiyon Konsantre),6
ROYUBRA SC (İMAL),700 g/l Metamitron,SC (Akıcı Konsantre/Süspansiyon Konsantre),6
ROYFATO SC (İMAL),350 g/l Metamitron + 150 g/l Ethofumesate,SC (Akıcı Konsantre/Süspansiyon Konsantre),6
BUTYLKA (İTHAL),200 g/l Glufosinate-ammonium tuzu,SL (Suda Çözünen Konsantre),6
RAINCLOM (İTHAL),"%74,8 Glyphosate Ammonium Tuzu",SG (Suda Çözünen Granül),6
PHAST 20 SC (İMAL),200 g/l Cyflumetofen,SC (Akıcı Konsantre/Süspansiyon Konsantre),6
DEJAVU 700 SC (İMAL),700 g/l Metamitron,SC (Akıcı Konsantre/Süspansiyon Konsantre),6
HARUKI (İTHAL),25 g/l Sodium s-Naphthaline Acetate + 3 g/l Sodium Para Nitrophenolate + 2 g/l Sodium Ortho Nitrophenolate + 1 g/l Sodium Penta Nitroguaiacolate,SL (Suda Çözünen Konsantre),6
EFDAL ZEYPER 24 EC (İMAL),240 g/l Carfentrazone-ethyl,EC (Emülsiye Olabilen Konsantre),6
ESPANSE (İMAL),500 g/l Diflufenican + 50 g/l Florasulam,SC (Akıcı Konsantre/Süspansiyon Konsantre),6
ERCORN SC 465 (İMAL),225 g/l Isoxaflutole + 90 g/l Thiencarbazone-methyl + 150 g/l Cyprosulfamide (safener),SC (Akıcı Konsantre/Süspansiyon Konsantre),6
COMET (İTHAL),%80 Captan,WG (Suda Dağılabilen Granül),6
SPADA 150 ZC (İMAL),100 g/l Chlorantraniliprole + 50 g/l Lambda-cyhalothrin,ZC (CS ve SC Formülasyonlarının Karışımı),6
TICTANE (İMAL),"18,8 g/l 6-Benzyladenine + 18,5 g/l Gibberellin A4/A7",SL (Suda Çözünen Konsantre),6
TACTIC 200 EC (İMAL),200 g/l Cyhalofop-butyl,EC (Emülsiye Olabilen Konsantre),6
LUMİREN 40 SL (İMAL),40 g/l Imazamox,SL (Suda Çözünen Konsantre),6
FARFLY (İTHAL),%6 Metaldehyde,GB (Granül Yem),6
AGROFARM CLAROS (İMAL),100 g/l Cycloxydim,EC (Emülsiye Olabilen Konsantre),6
LUMİREN 25 SL (İMAL),25 g/l Imazamox,SL (Suda Çözünen Konsantre),6
LEGAN M 60 (İTHAL),400 g/l Bentazone + 60 g/l MCPA,SL (Suda Çözünen Konsantre),6
MORTEL (İMAL),240 g/l Clopyralid + 80 g/l Picloram + 40 g/l Aminopyralid,SL (Suda Çözünen Konsantre),6
LUMİREN 120 SL (İMAL),120 g/l Imazamox,SL (Suda Çözünen Konsantre),6
SERNIT 50 EW (İMAL),50 g/l Quizalofop-p-ethyl,"EW (Emülsiyon, Suda Yağ)",6
NICEA 400 SC (İMAL),400 g/l Propyzamide,SC (Akıcı Konsantre/Süspansiyon Konsantre),6
COTTONHİLL (İMAL),500 g/l Fluometuron,SC (Akıcı Konsantre/Süspansiyon Konsantre),6
DEMADES (İMAL),1000 g/l Dimethyl Disulfide,EC (Emülsiye Olabilen Konsantre),6
BEASCARE (İMAL),"75 g/l Azoxystrobin + 37,5 g/l Metalaxyl-m + 12,5 g/l Fludioxonil",FS (Tohum İlaçlaması İçin Akıcı Konsantre),6
ZAZEX (İMAL),25 g/l Fludioxonil + 10 g/l Metalaxyl-m,FS (Tohum İlaçlaması İçin Akıcı Konsantre),6
FERNANDO (İMAL),500 g/l Fluazinam,SC (Akıcı Konsantre/Süspansiyon Konsantre),6
AZUMO WG (İTHAL),%80 Kükürt,WG (Suda Dağılabilen Granül),6
EATON (İMAL),400 g/l Metamitron + 55 g/l Ethofumesate + 35 g/l Phenmedipham,SC (Akıcı Konsantre/Süspansiyon Konsantre),6
BENTINCK (İMAL),300 g/l S-Metolachlor + 200 g/l Pendimethalin + 45 g/l Benoxacor (safener)),EC (Emülsiye Olabilen Konsantre),6
DESTİNATE (İMAL),400 g/l Metamitron + 55 g/l Ethofumesate + 35 g/l Phenmedipham,SC (Akıcı Konsantre/Süspansiyon Konsantre),6
TOKYO SC 100 (İMAL),100 g/l Spirotetramat,SC (Akıcı Konsantre/Süspansiyon Konsantre),6
AQUABAC (İMAL),850 g/l Mineral Yağ,EC (Emülsiye Olabilen Konsantre),6
ARUBA 960 EC (İMAL),960 g/l S-Metolachlor,EC (Emülsiye Olabilen Konsantre),6
ROYTAB 240 EW (İMAL),240 g/l Tau-fluvalinate,"EW (Emülsiyon, Suda Yağ)",6
SONZAİ (İMAL),%20 Pyridaben,WP (Islanabilir Toz),6
FIREFLY 500 SL (İTHAL),500 g/l Metam Sodium,SL (Suda Çözünen Konsantre),6
MAXTON 35 FS (İMAL),25 g/l Fludioxonil + 10 g/l Metalaxyl-m,FS (Tohum İlaçlaması İçin Akıcı Konsantre),6
BROKERM (İTHAL),800 g/l Prosulfocarb,EC (Emülsiye Olabilen Konsantre),6
DOSAGGİO 125 FS (İMAL),"75 g/l Azoxystrobin + 37,5 g/l Metalaxyl-m + 12,5 g/l Fludioxonil",FS (Tohum İlaçlaması İçin Akıcı Konsantre),6
AGRIMOLA 400 SC (İMAL),200 g/l Imazalil + 200 g/l Pyrimethanil,SC (Akıcı Konsantre/Süspansiyon Konsantre),6
BLUZOL (İTHAL),"27.6 g/kg (E,Z,Z)-3,8,11-tetradecatrien-1-yl acetate + 3.4 g/kg (E,Z)-3,8-tetradecadien-1-yl acetate",--- (-),6
LENA GREEN 700 SC (İMAL),700 g/l Metalik bakıra eşdeğer bakır oksiklorid,SC (Akıcı Konsantre/Süspansiyon Konsantre),6
ARCITUS 35 WG (İMAL),%35 Chlorantraniliprole,WG (Suda Dağılabilen Granül),6
MASTERGIBB 20 SL (İMAL),20 g/l Gibberellic acid,SL (Suda Çözünen Konsantre),6
PALADIN (İTHAL),1000 g/l Dimethyl Disulfide,EC (Emülsiye Olabilen Konsantre),6
STABULUM (İMAL),30 g/l Mesosulfuron-methyl + 90 g/l Mefenpyr-diethyl (safener),OD (Yağda Dağılabilen),6
COPOROO (İMAL),"65,82 g/l Metalik bakıra eşdeğer bakır sülfat",SC (Akıcı Konsantre/Süspansiyon Konsantre),6
NEMATOCİDE 900 EC (İMAL),900 g/l Fosthiazate,EC (Emülsiye Olabilen Konsantre),6
TRİBÜN 500 SC (İMAL),350 g/l Metamitron + 150 g/l Ethofumesate,SC (Akıcı Konsantre/Süspansiyon Konsantre),6
JAVIER (İMAL),20 g/l Emamectin benzoate,EC (Emülsiye Olabilen Konsantre),6
SPLAND 360 SC (İMAL),300 g/l Methoxyfenozide + 60 g/l Spinetoram,SC (Akıcı Konsantre/Süspansiyon Konsantre),6
HARDISON 700 (İMAL),700 g/l Mineral Yağ,"EW (Emülsiyon, Suda Yağ)",6
BUTEO FS 480 (İTHAL),480 g/l Flupyradifurone,FS (Tohum İlaçlaması İçin Akıcı Konsantre),6
MALOTRİN 440 EW (İMAL),440 g/l Malathion,"EW (Emülsiyon, Suda Yağ)",6
ONCADABEN 20 WP (İTHAL),%20 Pyridaben,WP (Islanabilir Toz),6
BUZAT (İTHAL),%50 Propyzamide,WP (Islanabilir Toz),6
CLOAKK (İMAL),"26,5 g/l Pyraflufen ethyl",EC (Emülsiye Olabilen Konsantre),6
BOLİVER 700 EW (İMAL),700 g/l Mineral Yağ,"EW (Emülsiyon, Suda Yağ)",6
FERFEZIN (İMAL),500 g/l Fluometuron,SC (Akıcı Konsantre/Süspansiyon Konsantre),6
KRONVERK (İTHAL),450 g/l Pendimethalin,CS (Kapsül Süspansiyon),6
BRADFORD WG 75 (İMAL),%50 Tebuconazole + %25 Trifloxystrobin,WG (Suda Dağılabilen Granül),6
ZANDOF 25 WP (İTHAL),%25 Tebuconazole,WP (Islanabilir Toz),6
GUARDI 70 WP (İTHAL),%70 Metribuzin,WP (Islanabilir Toz),6
ALUTRİS (İMAL),500 g/l Diflufenican + 50 g/l Florasulam,SC (Akıcı Konsantre/Süspansiyon Konsantre),6
BASULTRA 28 SL (İMAL),280 g/l Glufosinate-ammonium,SL (Suda Çözünen Konsantre),6
IRONY 35 DS (İMAL),%35 Metalaxyl,DS (Kuru Tohum İlacı),6
EFDAL BONUM SL (İMAL),"480 g/l Bentazone + 22,4 g/l Imazamox",SL (Suda Çözünen Konsantre),6
MAGETON (İMAL),"%39,75 Metalik bakıra eşdeğer bakır oksiklorid + %4,2 Cymoxanil",WG (Suda Dağılabilen Granül),6
ZIA 480 (İMAL),480 g/l Clomazone,EC (Emülsiye Olabilen Konsantre),6
ROYAL FRUİT (İMAL),"%1,18 2-(1-Naphthyl) acetamide (NAD) + %0,43 1-Naphthylacetic acid (NAA)",WP (Islanabilir Toz),6
CHIZAM 500 SC (İTHAL),500 g/l Fluazinam,SC (Akıcı Konsantre/Süspansiyon Konsantre),6
QUİCK STOP (İMAL),150 g/l Oxyfluorfen + 40 g/l Diflufenican,SC (Akıcı Konsantre/Süspansiyon Konsantre),6
TAMISOL (İTHAL),500 g/l Metam Sodium,SL (Suda Çözünen Konsantre),6
TEKTONİK (İMAL),20 g/l Abamectin,SC (Akıcı Konsantre/Süspansiyon Konsantre),6
FERGANO 20 SC (İMAL),20 g/l Abamectin,SC (Akıcı Konsantre/Süspansiyon Konsantre),6
SALTORON (İTHAL),%20 Metalik bakıra eşdeğer bordo bulamacı,WP (Islanabilir Toz),6
CLONUS (İMAL),525 g/l Metamitron + 40 g/l Quinmerac,SC (Akıcı Konsantre/Süspansiyon Konsantre),6
OUTSHIELD (İTHAL),%50 Metalik bakıra eşdeğer bakır oksiklorid,WG (Suda Dağılabilen Granül),6
EFDAL LAMTORİN CS (İTHAL),50 g/l Lambda-cyhalothrin,CS (Kapsül Süspansiyon),6
VARTEKS 240 SC (İMAL),"228,6 g/l Spiromesifen + 11,4 g/l Abamectin",SC (Akıcı Konsantre/Süspansiyon Konsantre),6
WEEDAWAY 100 SL (İMAL),100 g/l Clopyralid,SL (Suda Çözünen Konsantre),6
MİLDOBİN SC (İMAL),250 g/l Pyraclostrobin,SC (Akıcı Konsantre/Süspansiyon Konsantre),6
EGOMANİA FS (İMAL),150 g/l Prothioconazole + 20 g/l Tebuconazole,FS (Tohum İlaçlaması İçin Akıcı Konsantre),6
TRAXİLLA DUO FS (İMAL),80 g/l Triticonazole + 40 g/l Pyraclostrobin,FS (Tohum İlaçlaması İçin Akıcı Konsantre),6
LEONİDAS 400 EW (İMAL),267 g/l Prochloraz + 133 g/l Tebuconazole,"EW (Emülsiyon, Suda Yağ)",6
TASKURON (İMAL),240 g/l Spiromesifen,SC (Akıcı Konsantre/Süspansiyon Konsantre),6
ODİLİA 120 SC (İMAL),120 g/l Spinetoram,SC (Akıcı Konsantre/Süspansiyon Konsantre),6
SPANVİC (İTHAL),480 g/l Spinosad,SC (Akıcı Konsantre/Süspansiyon Konsantre),6
NAMARA 60 FS (İMAL),60 g/l Tebuconazole,FS (Tohum İlaçlaması İçin Akıcı Konsantre),6
HARDNESS (İTHAL),%50 Metalik bakıra eşdeğer bakır hidroksit,WG (Suda Dağılabilen Granül),6
FEEGO (İTHAL),%85 Pyroxasulfone,WG (Suda Dağılabilen Granül),6
SİNGELTON 333 FS (İMAL),333 g/l Fluxapyroxad,FS (Tohum İlaçlaması İçin Akıcı Konsantre),6
SİNGELTON 300 SC (İMAL),300 g/l Fluxapyroxad,SC (Akıcı Konsantre/Süspansiyon Konsantre),6
