Ticari Isim,Etken Madde,Formulasyon
LARVOLİ 65 EC (İMAL),650 g/l Malathion,EC (Emülsiye Olabilen Konsantre)
BUNSEKİ 25 SL (İMAL),25 g/l Imazamox,SL (Suda Çözünen Konsantre)
GANİMET 360 SL (İMAL),360 g/l Hymexazole,SL (Suda Çözünen Konsantre)
EMİCE 45 (İTHAL),45 g/l Pinoxaden + 20 g/l Cloquintocet-mexyl (safener),EC (Emülsiye Olabilen Konsantre)
ARLONG 120 SC (İMAL),120 g/l Spinetoram,SC (Akıcı Konsantre/Süspansiyon Konsantre)
FENRYA (İMAL),500 g/l Fluazinam,SC (Akıcı Konsantre/Süspansiyon Konsantre)
ZIXOR (İMAL),25 g/l Fludioxonil + 10 g/l Metalaxyl-m,FS (Tohum İlaçlaması İçin Akıcı Konsantre)
SUBVERT (İTHAL),"185.5 g/l (E,Z)-7,9-Dodecadien-1- yl Acetate",CS (Kapsül Süspansiyon)
FERCEPA (İMAL),60 g/l Carfentrazone-ethyl,ME (Mikro-Emülsiyon)
GAMEUP 85 WG (İMAL),%85 Pyroxasulfone,WG (Suda Dağılabilen Granül)
LAVORO 10 EC (İMAL),100 g/l Tetraconazole,EC (Emülsiye Olabilen Konsantre)
MAGNİFİCENT (İMAL),%50 Trifloxystrobin,WG (Suda Dağılabilen Granül)
TERSUN (İTHAL),50 g/l Quizalofop-p-ethyl,EC (Emülsiye Olabilen Konsantre)
MAKSİYER 050 EC (İMAL),"50 g/l Pinoxaden + 12,5 g/l Cloquintocet-mexyl (Safener)",EC (Emülsiye Olabilen Konsantre)
EGOISTA (İMAL),480 g/l Bentazone,SL (Suda Çözünen Konsantre)
DARAMUN (İTHAL),100 g/L Cyazofamid,SC (Akıcı Konsantre/Süspansiyon Konsantre)
FALORYN (İMAL),150 g/l Fluazifop-p-butyl,EC (Emülsiye Olabilen Konsantre)
LORENA OD (İMAL),50 g/l Quizalofop-P-ethyl + 38 g/l Imazamox,OD (Yağda Dağılabilen)
SAFEST (İMAL),300 g/l Pendimethalin + 60 g/l Flufenacet,EC (Emülsiye Olabilen Konsantre)
XEDAZİL 50 (İTHAL),500 g/l Imazalil,EC (Emülsiye Olabilen Konsantre)
ZARVİON (İMAL),"480 g/l Bentazone + 22,4 g/l Imazamox",SL (Suda Çözünen Konsantre)
ZALİFOR 375 SL (İMAL),250 g/l Bentazone + 125 g/l MCPA,SL (Suda Çözünen Konsantre)
BLOCKADE (İTHAL),"189,40 g/l Lavandulyl senecioate",CS (Kapsül Süspansiyon)
KURBEN (İMAL),%25 Metalik bakıra eşdeğer bakır sülfat,CR (Kristal)
GYO-THIN (İTHAL),200 g/l Glufosinate-ammonium,SL (Suda Çözünen Konsantre)
ODİSEUS (İMAL),1000 g/l Dimethyl Disulfide,EC (Emülsiye Olabilen Konsantre)
ALTERNATİF EC (İMAL),480 g/l Metalaxyl-M,EC (Emülsiye Olabilen Konsantre)
ARKURI (İMAL),"65,82 g/l Metalik bakıra eşdeğer bakır sülfat",SC (Akıcı Konsantre/Süspansiyon Konsantre)
TRULEN 60 FS (İMAL),60 g/l Tebuconazole,FS (Tohum İlaçlaması İçin Akıcı Konsantre)
ALCATRAZ OD (İMAL),"37,5 g/l Mesotrione + 15 g/l Nicosulfuron",OD (Yağda Dağılabilen)
GLARISE (İMAL),240 g/l Isoxaflutole +240 g/l Cyprosulfamide (safener),SC (Akıcı Konsantre/Süspansiyon Konsantre)
BARİMA (İMAL),136 g/l Metalik bakıra eşdeğer bakır hidroksit + 136 g/l Metalik bakıra eşdeğer bakır oksiklorid,SC (Akıcı Konsantre/Süspansiyon Konsantre)
COPSİDE 350 SC (İTHAL),350 g/l Metalik bakıra eşdeğer bakır hidroksit,SC (Akıcı Konsantre/Süspansiyon Konsantre)
EXODUS 500 SC (İMAL),"312,5 g/l S-Metolachlor + 187,5 g/l Terbuthylazine",SC (Akıcı Konsantre/Süspansiyon Konsantre)
SECTORIMA 25 SL (İMAL),25 g/l Imazamox,SL (Suda Çözünen Konsantre)
METACORİL (İMAL),30 g/l Tebuconazole + 20 g/l Metalaxyl-m,FS (Tohum İlaçlaması İçin Akıcı Konsantre)
SAFA CARNAVAL 43 WG (İMAL),%25 Mandipropamid + %18 Cymoxanil,WG (Suda Dağılabilen Granül)
SHERLOCK 500 SC (İMAL),375 g/l Pyrimethanil +125 g/l Fluopyram,SC (Akıcı Konsantre/Süspansiyon Konsantre)
PLANTIFOL (İMAL),175 g/l Prothioconazole + 88 g/l Trifloxystrobin,SC (Akıcı Konsantre/Süspansiyon Konsantre)
ODESSA 320 SC (İMAL),200 g/l Tebuconazole + 120 g/l Azoxystrobin,SC (Akıcı Konsantre/Süspansiyon Konsantre)
KEMP (İMAL),%40 Metalik bakıra eşdeğer bakır oksiklorid + %6 Dimethomorp,WP (Islanabilir Toz)
SOLITO (İTHAL),300 g/l Pretilachlor + 20 g/l Pyribenzoxim,EC (Emülsiye Olabilen Konsantre)
SERSİİ 2000 (İMAL),%35 Metalik bakıra eşdeğer bakır hidroksit,WG (Suda Dağılabilen Granül)
ELEMUT (İMAL),200 g/l Proquinazid,EC (Emülsiye Olabilen Konsantre)
İZLEM LB (İTHAL),"0.0039 g(E,Z)-7,9-dodecadien-1-yl acetate+0.0014 g (E,Z)7,9-Dodecadien-1-ol+0.00035 g (Z)-9-Dodecen-1-yl acetate+tuzak",--- (-)
FERNATE (İMAL),"65,82 g/l Metalik bakıra eşdeğer bakır sülfat",SC (Akıcı Konsantre/Süspansiyon Konsantre)
VERDECANTE (İMAL),%40 Metalik bakıra eşdeğer bakır oksiklorid + %6 Dimethomorp,WP (Bordo Bulamacı) (Islanabilir Toz)
ARGONIK 80 WG (İTHAL),%80 Kükürt,WG (Suda Dağılabilen Granül)
CEROX 50 WG (İMAL),%50 Triflusulfuron-methyl,WG (Suda Dağılabilen Granül)
DEMBELE 490 SC (İMAL),400 g/l Metamitron + 55 g/l Ethofumesate + 35 g/l Phenmedipham,SC (Akıcı Konsantre/Süspansiyon Konsantre)
AGROCURE PFX (İMAL),"%1,6 Pseudomonas fluorescens PRX1 1 X 10 üzeri 7 kob/ml min",SL (Suda Çözünen Konsantre)
SAMPO 500 SL (İTHAL),500 g/l Metam Sodium,SL (Suda Çözünen Konsantre)
HOT SHOT (İTHAL),500 g/l Metam Sodium,SL (Suda Çözünen Konsantre)
CETENAY 125 FS (İMAL),"75 g/l Azoxystrobin + 37,5 g/l Metalaxyl-m + 12,5 g/l Fludioxonil",FS (Tohum İlaçlaması İçin Akıcı Konsantre)
LOOBY (İMAL),200 g/l Fluopyram + 200 g/l Tebuconazole,SC (Akıcı Konsantre/Süspansiyon Konsantre)
FENOMİR 250 SC (İMAL),250 g/l Flutriafol,SC (Akıcı Konsantre/Süspansiyon Konsantre)
AZAMEX (İMAL),250 g/l Azoxystrobin,SC (Akıcı Konsantre/Süspansiyon Konsantre)
ILORYX (İMAL),240 g/l Isoxaflutole +240 g/l Cyprosulfamide (safener),SC (Akıcı Konsantre/Süspansiyon Konsantre)
PARLAY (İMAL),"186,5 g/l Maleic Hydrazide",SL (Suda Çözünen Konsantre)
FLORİXOR (İMAL),225 g/l Isoxaflutole + 90 g/l Thiencarbazone-methyl + 150 g/l Cyprosulfamide (safener),SC (Akıcı Konsantre/Süspansiyon Konsantre)
CENEVRE (İMAL),50 g/l Foramsulfuron + 30 g/l Thiencarbazone-methyl,OD (Yağda Dağılabilen)
CHILIS WG (İTHAL),"%25,2 Boscalid + %12,8 Pyraclostrobin",WG (Suda Dağılabilen Granül)
SAFA PERFOLİS (İMAL),20 g/l 6-Benzyladenine,SL (Suda Çözünen Konsantre)
AGROFARM KERMESSE (İMAL),%85 Pyroxasulfone,WG (Suda Dağılabilen Granül)
FHIONA (İMAL),267 g/l Prochloraz + 133 g/l Tebuconazole,"EW (Emülsiyon, Suda Yağ)"
SULVİTRON (İMAL),40 g/l Nicosulfuron,SC (Akıcı Konsantre/Süspansiyon Konsantre)
KİNG'S PHOENİX (İTHAL),%50 Tebuconazole + %25 Trifloxystrobin,WG (Suda Dağılabilen Granül)
ALLAVIDA (İTHAL),259 g/l Metalik bakıra eşdeğer bakır hidroksit + 49 g/l Metalaxyl,SC (Akıcı Konsantre/Süspansiyon Konsantre)
PACİNO 20 WP (İTHAL),%20 Metalik bakıra eşdeğer bordo bulamacı,WP (Bordo Bulamacı) (Islanabilir Toz)
ROYTUNCH 375 SL (İMAL),250 g/l Bentazone + 125 g/l MCPA,SL (Suda Çözünen Konsantre)
ZİMETRA 480 SL (İMAL),480 g/l Bentazone,SL (Suda Çözünen Konsantre)
EVERLAST (İMAL),700 g/l Mineral Yağ,"EW (Emülsiyon, Suda Yağ)"
AGROMATE (İTHAL),200 g/l Chlorantraniliprole,SC (Akıcı Konsantre/Süspansiyon Konsantre)
BİTMORE (İMAL),%35 Metalik bakıra eşdeğer bakır hidroksit,WG (Suda Dağılabilen Granül)
SPOILER 500 WG (İMAL),%50 Sulfoxaflor,WG (Suda Dağılabilen Granül)
BURUTO (İMAL),480 g/l Spinosad,SC (Akıcı Konsantre/Süspansiyon Konsantre)
DIVERSUM (İMAL),%25 Spinetoram,WG (Suda Dağılabilen Granül)
RADİOSA 120 SC (İMAL),120 g/l Spinetoram,SC (Akıcı Konsantre/Süspansiyon Konsantre)
ROYPİLER SC (İMAL),222 g/l Spirodiclofen + 18 g/l Abamectin,SC (Akıcı Konsantre/Süspansiyon Konsantre)
SILCOON (İMAL),480 g/l Clomazone,EC (Emülsiye Olabilen Konsantre)
TEATRO 48 SL (İMAL),480 g/l Bentazone,SL (Suda Çözünen Konsantre)
MITEFAST 240 SC (İMAL),"228,6 g/l Spiromesifen + 11,4 g/l Abamectin",SC (Akıcı Konsantre/Süspansiyon Konsantre)
RHODOPE (İMAL),200 g/l Cyflumetofen,SC (Akıcı Konsantre/Süspansiyon Konsantre)
CAMPEGGI (İTHAL),%50 Flonicamid,WG (Suda Dağılabilen Granül)
CANUTE (İMAL),"361,1 g/l Metalik bakıra eşdeğer bakır hidroksit",SC (Akıcı Konsantre/Süspansiyon Konsantre)
MAGISTER (İTHAL),200 g/l Fenazaquin,SC (Akıcı Konsantre/Süspansiyon Konsantre)
NEFERTA (İMAL),136 g/l Metalik bakıra eşdeğer bakır hidroksit + 136 g/l Metalik bakıra eşdeğer bakır oksiklorid,SC (Akıcı Konsantre/Süspansiyon Konsantre)
FİTOCUR FS 170 (İMAL),150 g/l Prothioconazole + 20 g/l Tebuconazole,FS (Tohum İlaçlaması İçin Akıcı Konsantre)
ABASHİNE 18 EC (İMAL),18 g/l Abamectin,EC (Emülsiye Olabilen Konsantre)
FERMİNA (İMAL),10 g/l Azadirachtin A,EC (Emülsiye Olabilen Konsantre)
PANNUMAX 20 SC (İMAL),200 g/l Cyflumetofen,SC (Akıcı Konsantre/Süspansiyon Konsantre)
BRAYDEN 50 WG (İMAL),%50 Pirimicarb,WG (Suda Dağılabilen Granül)
SLASH 460 SL (İMAL),400 g/l Bentazone + 60 g/l MCPA,SL (Suda Çözünen Konsantre)
FEROBEM (İMAL),"0,8 mg [0,76 mg Tetradecatrien-1-yl acetate (EZ),(Z8),(Z11) %95+0,04 mg Tetradecadien-1-yl acetate (E3)-(Z8) %5 ]",--- (-)
EYUTA (İMAL),400 g/l Fluopyram,SC (Akıcı Konsantre/Süspansiyon Konsantre)
COMRAT (İMAL),% 60 Tribenuron-methyl + % 20 Florasulam,WG (Suda Dağılabilen Granül)
TULOVE (İMAL),"0,7 mg [0,63 mg (EZ),(Z8),(Z11)- Tetradecatrien-1-yl acetate %90+ 0,07 mg (E3),(Z8)- Tetradecadien-1-yl acetate %10]",--- (-)
FYNEXİL (İMAL),375 g/l Fluazinam + 150 g/l Azoxystrobin,SC (Akıcı Konsantre/Süspansiyon Konsantre)
MALOTRİN 25 WP (İMAL),%25 Malathion,WP (Islanabilir Toz)
CARYLİN (İMAL),45 g/l Chlorantraniliprole + 18 g/l Abamectin,SC (Akıcı Konsantre/Süspansiyon Konsantre)
FEROKONT (İMAL),"1,4 mg p-Anisaldehyde + 25cm x 40 cm Mavi Yapışkan Tuzak",--- (-)
FEROEROS (İMAL),"1,2 mg p-Anisaldehyde + 25cm x 40 cm Mavi Yapışkan Tuzak",--- (-)
ESCADA 376 SC (İMAL),326 g/l Terbuthylazine + 50 g/l Mesotrione,SC (Akıcı Konsantre/Süspansiyon Konsantre)
MINERVA 500 SC (İMAL),250 g/l Fluopyram+ 250 g/l Trifloxystrobin,SC (Akıcı Konsantre/Süspansiyon Konsantre)
ASUMATE KP (İTHAL),74 mg (12Z)-2-acetoxy-12-heptadecene,--- (-)
ILLAGRO (İMAL),300 g/l Ametoctradin + 225 g/l Dimethomorph,SC (Akıcı Konsantre/Süspansiyon Konsantre)
HYBRİKS 2F (İMAL),240 g/l Tau-fluvalinate,"EW (Emülsiyon, Suda Yağ)"
SAFA AQUAMETRIX (İMAL),333 g/l Metazachlor + 83 g/l Quinmerac,SC (Akıcı Konsantre/Süspansiyon Konsantre)
MİNATO 700 SC (İMAL),700 g/l Metamitron,SC (Akıcı Konsantre/Süspansiyon Konsantre)
PADOVA (İMAL),45 g/l Chlorantraniliprole + 18 g/l Abamectin,SC (Akıcı Konsantre/Süspansiyon Konsantre)
ABAROLE (İTHAL),45 g/l Chlorantraniliprole + 18 g/l Abamectin,SC (Akıcı Konsantre/Süspansiyon Konsantre)
TRİTİCON ROBİN (İMAL),60 g/l Tebuconazole,FS (Tohum İlaçlaması İçin Akıcı Konsantre)
JOUST AZUL (İTHAL),150 g/l Azoxystrobin + 150 g/l Prothioconazole,SC (Akıcı Konsantre/Süspansiyon Konsantre)
ROYUBRA SC (İMAL),700 g/l Metamitron,SC (Akıcı Konsantre/Süspansiyon Konsantre)
ROYFATO SC (İMAL),350 g/l Metamitron + 150 g/l Ethofumesate,SC (Akıcı Konsantre/Süspansiyon Konsantre)
BUTYLKA (İTHAL),200 g/l Glufosinate-ammonium tuzu,SL (Suda Çözünen Konsantre)
RAINCLOM (İTHAL),"%74,8 Glyphosate Ammonium Tuzu",SG (Suda Çözünen Granül)
PHAST 20 SC (İMAL),200 g/l Cyflumetofen,SC (Akıcı Konsantre/Süspansiyon Konsantre)
DEJAVU 700 SC (İMAL),700 g/l Metamitron,SC (Akıcı Konsantre/Süspansiyon Konsantre)
HARUKI (İTHAL),25 g/l Sodium s-Naphthaline Acetate + 3 g/l Sodium Para Nitrophenolate + 2 g/l Sodium Ortho Nitrophenolate + 1 g/l Sodium Penta Nitroguaiacolate,SL (Suda Çözünen Konsantre)
EFDAL ZEYPER 24 EC (İMAL),240 g/l Carfentrazone-ethyl,EC (Emülsiye Olabilen Konsantre)
ESPANSE (İMAL),500 g/l Diflufenican + 50 g/l Florasulam,SC (Akıcı Konsantre/Süspansiyon Konsantre)
ERCORN SC 465 (İMAL),225 g/l Isoxaflutole + 90 g/l Thiencarbazone-methyl + 150 g/l Cyprosulfamide (safener),SC (Akıcı Konsantre/Süspansiyon Konsantre)
COMET (İTHAL),%80 Captan,WG (Suda Dağılabilen Granül)
SPADA 150 ZC (İMAL),100 g/l Chlorantraniliprole + 50 g/l Lambda-cyhalothrin,ZC (CS ve SC Formülasyonlarının Karışımı)
TICTANE (İMAL),"18,8 g/l 6-Benzyladenine + 18,5 g/l Gibberellin A4/A7",SL (Suda Çözünen Konsantre)
TACTIC 200 EC (İMAL),200 g/l Cyhalofop-butyl,EC (Emülsiye Olabilen Konsantre)
LUMİREN 40 SL (İMAL),40 g/l Imazamox,SL (Suda Çözünen Konsantre)
FARFLY (İTHAL),%6 Metaldehyde,GB (Granül Yem)
AGROFARM CLAROS (İMAL),100 g/l Cycloxydim,EC (Emülsiye Olabilen Konsantre)
LUMİREN 25 SL (İMAL),25 g/l Imazamox,SL (Suda Çözünen Konsantre)
LEGAN M 60 (İTHAL),400 g/l Bentazone + 60 g/l MCPA,SL (Suda Çözünen Konsantre)
MORTEL (İMAL),240 g/l Clopyralid + 80 g/l Picloram + 40 g/l Aminopyralid,SL (Suda Çözünen Konsantre)
LUMİREN 120 SL (İMAL),120 g/l Imazamox,SL (Suda Çözünen Konsantre)
SERNIT 50 EW (İMAL),50 g/l Quizalofop-p-ethyl,"EW (Emülsiyon, Suda Yağ)"
NICEA 400 SC (İMAL),400 g/l Propyzamide,SC (Akıcı Konsantre/Süspansiyon Konsantre)
COTTONHİLL (İMAL),500 g/l Fluometuron,SC (Akıcı Konsantre/Süspansiyon Konsantre)
DEMADES (İMAL),1000 g/l Dimethyl Disulfide,EC (Emülsiye Olabilen Konsantre)
BEASCARE (İMAL),"75 g/l Azoxystrobin + 37,5 g/l Metalaxyl-m + 12,5 g/l Fludioxonil",FS (Tohum İlaçlaması İçin Akıcı Konsantre)
ZAZEX (İMAL),25 g/l Fludioxonil + 10 g/l Metalaxyl-m,FS (Tohum İlaçlaması İçin Akıcı Konsantre)
FERNANDO (İMAL),500 g/l Fluazinam,SC (Akıcı Konsantre/Süspansiyon Konsantre)
AZUMO WG (İTHAL),%80 Kükürt,WG (Suda Dağılabilen Granül)
EATON (İMAL),400 g/l Metamitron + 55 g/l Ethofumesate + 35 g/l Phenmedipham,SC (Akıcı Konsantre/Süspansiyon Konsantre)
BENTINCK (İMAL),300 g/l S-Metolachlor + 200 g/l Pendimethalin + 45 g/l Benoxacor (safener)),EC (Emülsiye Olabilen Konsantre)
DESTİNATE (İMAL),400 g/l Metamitron + 55 g/l Ethofumesate + 35 g/l Phenmedipham,SC (Akıcı Konsantre/Süspansiyon Konsantre)
TOKYO SC 100 (İMAL),100 g/l Spirotetramat,SC (Akıcı Konsantre/Süspansiyon Konsantre)
AQUABAC (İMAL),850 g/l Mineral Yağ,EC (Emülsiye Olabilen Konsantre)
ARUBA 960 EC (İMAL),960 g/l S-Metolachlor,EC (Emülsiye Olabilen Konsantre)
ROYTAB 240 EW (İMAL),240 g/l Tau-fluvalinate,"EW (Emülsiyon, Suda Yağ)"
SONZAİ (İMAL),%20 Pyridaben,WP (Islanabilir Toz)
FIREFLY 500 SL (İTHAL),500 g/l Metam Sodium,SL (Suda Çözünen Konsantre)
MAXTON 35 FS (İMAL),25 g/l Fludioxonil + 10 g/l Metalaxyl-m,FS (Tohum İlaçlaması İçin Akıcı Konsantre)
BROKERM (İTHAL),800 g/l Prosulfocarb,EC (Emülsiye Olabilen Konsantre)
DOSAGGİO 125 FS (İMAL),"75 g/l Azoxystrobin + 37,5 g/l Metalaxyl-m + 12,5 g/l Fludioxonil",FS (Tohum İlaçlaması İçin Akıcı Konsantre)
AGRIMOLA 400 SC (İMAL),200 g/l Imazalil + 200 g/l Pyrimethanil,SC (Akıcı Konsantre/Süspansiyon Konsantre)
BLUZOL (İTHAL),"27.6 g/kg (E,Z,Z)-3,8,11-tetradecatrien-1-yl acetate + 3.4 g/kg (E,Z)-3,8-tetradecadien-1-yl acetate",--- (-)
LENA GREEN 700 SC (İMAL),700 g/l Metalik bakıra eşdeğer bakır oksiklorid,SC (Akıcı Konsantre/Süspansiyon Konsantre)
ARCITUS 35 WG (İMAL),%35 Chlorantraniliprole,WG (Suda Dağılabilen Granül)
MASTERGIBB 20 SL (İMAL),20 g/l Gibberellic acid,SL (Suda Çözünen Konsantre)
PALADIN (İTHAL),1000 g/l Dimethyl Disulfide,EC (Emülsiye Olabilen Konsantre)
STABULUM (İMAL),30 g/l Mesosulfuron-methyl + 90 g/l Mefenpyr-diethyl (safener),OD (Yağda Dağılabilen)
COPOROO (İMAL),"65,82 g/l Metalik bakıra eşdeğer bakır sülfat",SC (Akıcı Konsantre/Süspansiyon Konsantre)
NEMATOCİDE 900 EC (İMAL),900 g/l Fosthiazate,EC (Emülsiye Olabilen Konsantre)
TRİBÜN 500 SC (İMAL),350 g/l Metamitron + 150 g/l Ethofumesate,SC (Akıcı Konsantre/Süspansiyon Konsantre)
JAVIER (İMAL),20 g/l Emamectin benzoate,EC (Emülsiye Olabilen Konsantre)
SPLAND 360 SC (İMAL),300 g/l Methoxyfenozide + 60 g/l Spinetoram,SC (Akıcı Konsantre/Süspansiyon Konsantre)
HARDISON 700 (İMAL),700 g/l Mineral Yağ,"EW (Emülsiyon, Suda Yağ)"
BUTEO FS 480 (İTHAL),480 g/l Flupyradifurone,FS (Tohum İlaçlaması İçin Akıcı Konsantre)
MALOTRİN 440 EW (İMAL),440 g/l Malathion,"EW (Emülsiyon, Suda Yağ)"
ONCADABEN 20 WP (İTHAL),%20 Pyridaben,WP (Islanabilir Toz)
BUZAT (İTHAL),%50 Propyzamide,WP (Islanabilir Toz)
CLOAKK (İMAL),"26,5 g/l Pyraflufen ethyl",EC (Emülsiye Olabilen Konsantre)
BOLİVER 700 EW (İMAL),700 g/l Mineral Yağ,"EW (Emülsiyon, Suda Yağ)"
FERFEZIN (İMAL),500 g/l Fluometuron,SC (Akıcı Konsantre/Süspansiyon Konsantre)
KRONVERK (İTHAL),450 g/l Pendimethalin,CS (Kapsül Süspansiyon)
BRADFORD WG 75 (İMAL),%50 Tebuconazole + %25 Trifloxystrobin,WG (Suda Dağılabilen Granül)
ZANDOF 25 WP (İTHAL),%25 Tebuconazole,WP (Islanabilir Toz)
GUARDI 70 WP (İTHAL),%70 Metribuzin,WP (Islanabilir Toz)
ALUTRİS (İMAL),500 g/l Diflufenican + 50 g/l Florasulam,SC (Akıcı Konsantre/Süspansiyon Konsantre)
BASULTRA 28 SL (İMAL),280 g/l Glufosinate-ammonium,SL (Suda Çözünen Konsantre)
IRONY 35 DS (İMAL),%35 Metalaxyl,DS (Kuru Tohum İlacı)
EFDAL BONUM SL (İMAL),"480 g/l Bentazone + 22,4 g/l Imazamox",SL (Suda Çözünen Konsantre)
MAGETON (İMAL),"%39,75 Metalik bakıra eşdeğer bakır oksiklorid + %4,2 Cymoxanil",WG (Suda Dağılabilen Granül)
ZIA 480 (İMAL),480 g/l Clomazone,EC (Emülsiye Olabilen Konsantre)
ROYAL FRUİT (İMAL),"%1,18 2-(1-Naphthyl) acetamide (NAD) + %0,43 1-Naphthylacetic acid (NAA)",WP (Islanabilir Toz)
CHIZAM 500 SC (İTHAL),500 g/l Fluazinam,SC (Akıcı Konsantre/Süspansiyon Konsantre)
QUİCK STOP (İMAL),150 g/l Oxyfluorfen + 40 g/l Diflufenican,SC (Akıcı Konsantre/Süspansiyon Konsantre)
TAMISOL (İTHAL),500 g/l Metam Sodium,SL (Suda Çözünen Konsantre)
TEKTONİK (İMAL),20 g/l Abamectin,SC (Akıcı Konsantre/Süspansiyon Konsantre)
FERGANO 20 SC (İMAL),20 g/l Abamectin,SC (Akıcı Konsantre/Süspansiyon Konsantre)
SALTORON (İTHAL),%20 Metalik bakıra eşdeğer bordo bulamacı,WP (Islanabilir Toz)
CLONUS (İMAL),525 g/l Metamitron + 40 g/l Quinmerac,SC (Akıcı Konsantre/Süspansiyon Konsantre)
OUTSHIELD (İTHAL),%50 Metalik bakıra eşdeğer bakır oksiklorid,WG (Suda Dağılabilen Granül)
EFDAL LAMTORİN CS (İTHAL),50 g/l Lambda-cyhalothrin,CS (Kapsül Süspansiyon)
VARTEKS 240 SC (İMAL),"228,6 g/l Spiromesifen + 11,4 g/l Abamectin",SC (Akıcı Konsantre/Süspansiyon Konsantre)
WEEDAWAY 100 SL (İMAL),100 g/l Clopyralid,SL (Suda Çözünen Konsantre)
MİLDOBİN SC (İMAL),250 g/l Pyraclostrobin,SC (Akıcı Konsantre/Süspansiyon Konsantre)
EGOMANİA FS (İMAL),150 g/l Prothioconazole + 20 g/l Tebuconazole,FS (Tohum İlaçlaması İçin Akıcı Konsantre)
TRAXİLLA DUO FS (İMAL),80 g/l Triticonazole + 40 g/l Pyraclostrobin,FS (Tohum İlaçlaması İçin Akıcı Konsantre)
LEONİDAS 400 EW (İMAL),267 g/l Prochloraz + 133 g/l Tebuconazole,"EW (Emülsiyon, Suda Yağ)"
TASKURON (İMAL),240 g/l Spiromesifen,SC (Akıcı Konsantre/Süspansiyon Konsantre)
ODİLİA 120 SC (İMAL),120 g/l Spinetoram,SC (Akıcı Konsantre/Süspansiyon Konsantre)
SPANVİC (İTHAL),480 g/l Spinosad,SC (Akıcı Konsantre/Süspansiyon Konsantre)
NAMARA 60 FS (İMAL),60 g/l Tebuconazole,FS (Tohum İlaçlaması İçin Akıcı Konsantre)
HARDNESS (İTHAL),%50 Metalik bakıra eşdeğer bakır hidroksit,WG (Suda Dağılabilen Granül)
FEEGO (İTHAL),%85 Pyroxasulfone,WG (Suda Dağılabilen Granül)
SİNGELTON 333 FS (İMAL),333 g/l Fluxapyroxad,FS (Tohum İlaçlaması İçin Akıcı Konsantre)
SİNGELTON 300 SC (İMAL),300 g/l Fluxapyroxad,SC (Akıcı Konsantre/Süspansiyon Konsantre)
SENIOR 20 SC (İMAL),200 g/l Cyflumetofen,SC (Akıcı Konsantre/Süspansiyon Konsantre)
GUCHVER (İMAL),400 g/l Fluopyram,SC (Akıcı Konsantre/Süspansiyon Konsantre)
HERBSTONE (İMAL),400 g/l Flufenacet + 100 g/l Diflufenican,SC (Akıcı Konsantre/Süspansiyon Konsantre)
BANTU 40 EC (İMAL),40 g/l Quizalofop-p-tefuryl,EC (Emülsiye Olabilen Konsantre)
